Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years,High_Range,Price_Segment,Range_per_kWh,Price_per_km,Efficiency_Tier,Est_Revenue_2024,Era
Toyota,bZ4X,2019,Aluminum-Ion,127.2,346,Solar Charging,9.1,70645.83,Orange,Australia,1,0.0,5.0,13022,5,0,Mid ($50K–$80K),2.72,204.18,Medium,919949998.26,Mid (2019-2021)
Byd,Han EV,2021,Lithium-Ion,54.4,163,Vehicle-To-Home (V2H),4.7,119881.39,Gold,Israel,5,0.0,3.0,15449,3,0,Luxury (>$110K),2.996,735.47,Medium,1852047594.11,Mid (2019-2021)
Gmc,Hummer EV SUV,2024,Lithium-Iron Phosphate,104.2,425,Vehicle-To-Home (V2H),11.0,66262.82,Tan,Canada,3,0.0,4.0,3805,3,1,Mid ($50K–$80K),4.079,155.91,High,252130030.10000002,Recent (2022-2025)
Polestar,Polestar 3,2021,Nickel-Manganese-Cobalt,68.2,586,Vehicle-To-Grid (V2G),7.3,117191.9,Tan,France,4,0.0,3.0,12141,3,1,Luxury (>$110K),8.592,199.99,Top,1422826857.8999999,Mid (2019-2021)
Geely,Geometry C,2018,Calcium-Ion,67.1,451,Overhead Pantograph Charging,6.8,147341.1,Teal,South Korea,1,0.0,4.0,3003,5,1,Luxury (>$110K),6.721,326.7,Top,442465323.3,Early (2015-2018)
Rivian,EDV (Electric Delivery Van),2025,Zinc-Air,146.2,125,Mobile Charging,3.3,45110.87,Matte Green,Switzerland,3,0.0,3.0,7634,4,0,Budget (<$50K),0.855,360.89,Low,344376381.58000004,Recent (2022-2025)
Opel,Corsa-e,2024,Lithium-Ion,56.0,174,Chademo,6.7,125821.66,Orange,Germany,3,0.0,5.0,10609,3,0,Luxury (>$110K),3.107,723.11,Medium,1334841990.94,Recent (2022-2025)
Porsche,Panamera EV,2015,Nickel-Metal Hydride,116.4,369,Ccs,9.1,87149.52,Navy Blue,Argentina,0,0.0,5.0,1420,5,0,Premium ($80K–$110K),3.17,236.18,Medium,123752318.4,Early (2015-2018)
Vinfast,VFe34 (discontinued),2019,Nickel-Manganese-Cobalt,103.6,115,Level 2 Charging,12.0,131675.83,Brown,France,3,0.0,4.0,19932,3,0,Luxury (>$110K),1.11,1145.01,Low,2624562643.56,Mid (2019-2021)
Audi,e-tron GT,2019,Zinc-Air,102.3,380,Mobile Charging,4.9,101687.02,Copper,Australia,3,0.0,5.0,18066,5,0,Premium ($80K–$110K),3.715,267.6,Medium,1837077703.3200002,Mid (2019-2021)
Rivian,R1S,2022,Aluminum-Ion,49.7,273,Vehicle-To-Home (V2H),5.1,117553.5,Purple,Vietnam,2,0.0,4.0,2199,3,0,Luxury (>$110K),5.493,430.6,High,258500146.5,Recent (2022-2025)
Hyundai,Kona Electric,2021,Solid-State,116.8,290,Chademo,6.9,100375.81,Matte Gray,United Arab Emirates,0,0.0,4.0,1685,4,0,Premium ($80K–$110K),2.483,346.12,Low,169133239.85,Mid (2019-2021)
Cadillac,Celestiq,2020,Solid-State,95.1,208,Chademo,8.1,56909.38,Yellow,Brazil,2,0.0,3.0,14061,5,0,Mid ($50K–$80K),2.187,273.6,Low,800202792.18,Mid (2019-2021)
Opel,Grandland Electric,2024,Flow Batteries,103.6,113,Battery Swapping,0.8,62792.45,Stealth Gray,Poland,2,0.0,5.0,13132,3,0,Mid ($50K–$80K),1.091,555.69,Low,824590453.4,Recent (2022-2025)
Ford,Mustang Mach-E,2016,Lithium-Titanate,89.0,292,Vehicle-To-Grid (V2G),5.7,48889.11,Magenta,Hungary,4,0.0,3.0,5158,5,0,Budget (<$50K),3.281,167.43,Medium,252170029.38,Early (2015-2018)
Bmw,iX3,2016,Lithium-Sulfur,77.6,317,Vehicle-To-Load (V2L),7.5,79702.05,Electric Blue,Turkey,3,0.0,5.0,19435,4,0,Mid ($50K–$80K),4.085,251.43,High,1549009341.75,Early (2015-2018)
Lotus,Evija,2019,Lithium-Ion,48.7,406,Level 2 Charging,0.6,66170.32,Electric Blue,Italy,2,0.0,4.0,14111,3,1,Mid ($50K–$80K),8.337,162.98,Top,933729385.5200001,Mid (2019-2021)
Volkswagen,ID.6,2023,Lithium-Titanate,49.9,386,Overhead Pantograph Charging,1.3,133411.72,Silver,Vietnam,3,0.0,5.0,14066,5,0,Luxury (>$110K),7.735,345.63,Top,1876569253.52,Recent (2022-2025)
Xpeng,P5,2019,Solid-State,72.7,594,Mobile Charging,2.5,143713.72,Sunset Orange,Argentina,3,0.0,5.0,13121,5,1,Luxury (>$110K),8.171,241.94,Top,1885667720.1200001,Mid (2019-2021)
Hyundai,Ioniq 7 (upcoming),2019,Lithium-Titanate,64.1,270,Nacs,1.4,105986.96,Matte Black,Turkey,2,0.0,5.0,4839,3,0,Premium ($80K–$110K),4.212,392.54,High,512870899.44000006,Mid (2019-2021)
Kia,Niro EV,2019,Lithium-Iron Phosphate,42.6,178,Dc Fast Charging (Dcfc),2.5,122741.77,Champagne,Australia,4,0.0,5.0,10590,5,0,Luxury (>$110K),4.178,689.56,High,1299835344.3,Mid (2019-2021)
Rimac,Nevera,2022,Solid-State,81.0,423,Solar Charging,9.7,100970.37,Teal,Turkey,3,0.0,4.0,12082,4,1,Premium ($80K–$110K),5.222,238.7,High,1219924010.34,Recent (2022-2025)
Audi,e-tron,2024,Zinc-Air,85.9,336,Level 2 Charging,5.7,127177.91,Ruby Red,Denmark,3,0.0,4.0,3391,4,0,Luxury (>$110K),3.912,378.51,Medium,431260292.81,Recent (2022-2025)
Dacia,Jogger Hybrid,2023,Flow Batteries,42.4,226,Vehicle-To-Home (V2H),11.9,92888.23,Sapphire Blue,Netherlands,2,0.0,5.0,19591,3,0,Premium ($80K–$110K),5.33,411.01,High,1819773313.9299998,Recent (2022-2025)
Vinfast,VF 8,2016,Sodium-Ion,32.3,447,Plug-In Hydrogen Refueling,3.8,116848.04,Lime Green,Ireland,2,0.0,4.0,10165,5,1,Luxury (>$110K),13.839,261.41,Top,1187760326.6,Early (2015-2018)
Seat,Avenger,2017,Zinc-Air,112.1,143,Solar Charging,6.9,107219.19,Pink,Italy,5,0.0,3.0,13874,5,0,Premium ($80K–$110K),1.276,749.78,Low,1487559042.06,Early (2015-2018)
Byd,Han EV,2020,Lithium-Sulfur,43.4,209,Mobile Charging,11.4,88352.51,Crimson Red,Italy,2,0.0,5.0,17253,3,0,Premium ($80K–$110K),4.816,422.74,High,1524345855.03,Mid (2019-2021)
Mini,Mini Cooper SE,2024,Nickel-Metal Hydride,97.6,178,Nacs,2.6,113141.48,Sapphire Blue,Netherlands,0,0.0,3.0,14555,5,0,Luxury (>$110K),1.824,635.63,Low,1646774241.3999999,Recent (2022-2025)
Mazda,Mazda EV (upcoming models),2018,Lead-Acid,51.1,594,Vehicle-To-Load (V2L),10.9,53281.94,Sky Blue,Singapore,3,0.0,5.0,17283,4,1,Mid ($50K–$80K),11.624,89.7,Top,920871769.02,Early (2015-2018)
Mercedes-Benz,EQB,2024,Nickel-Metal Hydride,133.5,126,Vehicle-To-Load (V2L),10.6,96544.89,Yellow,South Africa,2,0.0,4.0,16821,3,0,Premium ($80K–$110K),0.944,766.23,Low,1623981594.69,Recent (2022-2025)
Zeekr,Zeekr 001,2018,Calcium-Ion,78.6,278,Level 1 Charging,5.3,77574.48,Turquoise,Belgium,0,0.0,4.0,3246,5,0,Mid ($50K–$80K),3.537,279.04,Medium,251806762.07999998,Early (2015-2018)
Genesis,GV80 Electric,2017,Nickel-Metal Hydride,25.0,569,Vehicle-To-Load (V2L),8.5,46655.12,Cosmic Purple,New Zealand,0,0.0,4.0,7066,3,1,Budget (<$50K),22.76,81.99,Top,329665077.92,Early (2015-2018)
Lamborghini,Lanzador (upcoming EV),2016,Magnesium-Ion,57.5,254,Ccs,1.0,80379.07,Burgundy,Finland,0,0.0,5.0,538,5,0,Premium ($80K–$110K),4.417,316.45,High,43243939.660000004,Early (2015-2018)
Mg,MG4 Electric,2017,Lithium-Sulfur,75.8,414,Overhead Pantograph Charging,3.3,79988.11,Lime Green,Uk,2,0.0,5.0,16633,5,1,Mid ($50K–$80K),5.462,193.21,High,1330442233.63,Early (2015-2018)
Nissan,Ariya,2022,Lithium-Ion,102.6,291,Battery Swapping,9.1,72851.27,Red,Brazil,5,0.0,5.0,10895,3,0,Mid ($50K–$80K),2.836,250.35,Medium,793714586.6500001,Recent (2022-2025)
Chevrolet,Volt (PHEV),2023,Sodium-Ion,125.8,189,Vehicle-To-Home (V2H),11.8,87423.74,Midnight Black,Italy,3,0.0,4.0,6605,3,0,Premium ($80K–$110K),1.502,462.56,Low,577433802.7,Recent (2022-2025)
Vinfast,VF 7,2015,Sodium-Ion,141.3,363,Plug-In Hydrogen Refueling,11.9,95163.68,Gold,Japan,1,0.0,3.0,10876,4,0,Premium ($80K–$110K),2.569,262.16,Low,1035000183.68,Early (2015-2018)
Jaguar,I-PACE,2021,Aluminum-Ion,72.0,325,Plug-In Hydrogen Refueling,4.4,52418.07,Ice Silver,Russia,4,0.0,4.0,13910,3,0,Mid ($50K–$80K),4.514,161.29,High,729135353.7,Mid (2019-2021)
Zeekr,Zeekr X,2023,Lithium-Sulfur,61.8,140,Mobile Charging,8.1,66779.5,Gun Metal,Vietnam,3,0.0,4.0,11552,5,0,Mid ($50K–$80K),2.265,477.0,Low,771436784.0,Recent (2022-2025)
Zeekr,Zeekr 009,2025,Magnesium-Ion,143.2,138,Plug-In Hydrogen Refueling,4.7,126131.52,Sky Blue,Netherlands,1,0.0,4.0,1140,3,0,Luxury (>$110K),0.964,914.0,Low,143789932.8,Recent (2022-2025)
Audi,e-tron GT,2025,Sodium-Ion,67.1,586,Level 2 Charging,7.5,111487.45,Turquoise,Argentina,0,0.0,4.0,10301,5,1,Luxury (>$110K),8.733,190.25,Top,1148432222.45,Recent (2022-2025)
Toyota,bZ4X,2016,Lithium-Ion,115.6,355,Plug-In Hydrogen Refueling,11.0,44131.32,Navy Blue,Spain,1,0.0,4.0,6559,3,0,Budget (<$50K),3.071,124.31,Medium,289457327.88,Early (2015-2018)
Volkswagen,ID.2all,2016,Nickel-Manganese-Cobalt,42.4,465,Vehicle-To-Home (V2H),12.0,127261.59,Rose Gold,Hungary,5,0.0,4.0,5161,5,1,Luxury (>$110K),10.967,273.68,Top,656797065.99,Early (2015-2018)
Dacia,Jogger Hybrid,2020,Lead-Acid,49.2,202,Chademo,3.2,89282.63,Turquoise,United Arab Emirates,3,0.0,5.0,2825,3,0,Premium ($80K–$110K),4.106,441.99,High,252223429.75,Mid (2019-2021)
Subaru,Solterra,2022,Lead-Acid,73.4,309,Dc Fast Charging (Dcfc),1.9,68043.32,Red,Malaysia,4,0.0,5.0,19260,3,0,Mid ($50K–$80K),4.21,220.2,High,1310514343.2,Recent (2022-2025)
Opel,Corsa-e,2021,Lead-Acid,138.4,128,Ccs,6.5,66494.95,Pearl White,Hungary,1,0.0,4.0,2584,4,0,Mid ($50K–$80K),0.925,519.49,Low,171822950.79999998,Mid (2019-2021)
Lucid Motors,Lucid DreamDrive,2023,Lithium-Sulfur,36.3,255,Dc Fast Charging (Dcfc),6.3,50236.31,Matte Blue,Sweden,4,0.0,5.0,1349,3,0,Mid ($50K–$80K),7.025,197.01,Top,67768782.19,Recent (2022-2025)
Hyundai,Kona Electric,2025,Magnesium-Ion,95.0,433,Inductive (Wireless) Charging,9.3,79990.41,Emerald Green,Germany,5,0.0,4.0,15825,3,1,Mid ($50K–$80K),4.558,184.74,High,1265848238.25,Recent (2022-2025)
